dataset,encoder,split,color_mode,approach,lora,n_pairs,mAP,R@1,R@3,R@5,R@10,seasonal_drift@5
dynamic_earthnet,georsclip,val,nrg,zero_shot,True,110,0.04118955903570089,0.0,0.0,0.0,0.0,0.0
dynamic_earthnet,georsclip,val,rgb,naive,False,110,0.03029834689855428,0.0,0.0,0.0,0.0,0.0
dynamic_earthnet,georsclip,val,rgb,peft,False,110,0.08726606305572393,0.0,0.06666666666666667,0.06666666666666667,0.10666666666666666,0.0
dynamic_earthnet,georsclip,val,rgb,zero_shot,False,110,0.035857461103867144,0.0,0.0,0.0,0.06666666666666667,0.0
dynamic_earthnet,remoteclip,test,ndvi,naive,False,110,0.038161885398374895,0.0,0.0,0.0,0.0,0.0
dynamic_earthnet,remoteclip,test,ndvi,zero_shot,False,110,0.0548772417541512,0.0,0.0,0.0,0.0,0.0
dynamic_earthnet,remoteclip,test,nrg,naive,False,110,0.061405957693980585,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0
dynamic_earthnet,remoteclip,test,nrg,zero_shot,False,110,0.12894912881438533,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.0
dynamic_earthnet,remoteclip,test,rgb,naive,False,110,0.12054414527430568,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0
dynamic_earthnet,remoteclip,test,rgb,peft,False,110,0.1031536345786248,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0
dynamic_earthnet,remoteclip,test,rgb,zero_shot,False,110,0.04972999889696078,0.0,0.0,0.0,0.0,0.0
dynamic_earthnet,remoteclip,train,ndvi,naive,False,605,0.02149306607887958,0.0,0.0,0.014285714285714285,0.014285714285714285,0.0
dynamic_earthnet,remoteclip,train,ndvi,zero_shot,False,605,0.02187095991076115,0.0,0.0,0.0,0.0,0.0
dynamic_earthnet,remoteclip,train,nrg,naive,False,605,0.02480508016267599,0.0,0.0,0.0,0.014285714285714285,0.0
dynamic_earthnet,remoteclip,train,nrg,zero_shot,False,605,0.022917006731874336,0.0,0.0,0.0,0.0,0.0
dynamic_earthnet,remoteclip,train,rgb,naive,False,605,0.024140780280410015,0.0,0.0,0.014285714285714285,0.014285714285714285,0.0
dynamic_earthnet,remoteclip,train,rgb,peft,False,605,0.35221630879270394,0.014285714285714285,0.04285714285714286,0.08195488721804511,0.3019548872180451,0.0
dynamic_earthnet,remoteclip,train,rgb,zero_shot,False,605,0.0569675401816118,0.0,0.0,0.08095238095238096,0.14110275689223056,0.0
dynamic_earthnet,remoteclip,val,ndvi,naive,False,110,0.05553512368392992,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0
dynamic_earthnet,remoteclip,val,ndvi,zero_shot,False,110,0.048003292727770965,0.0,0.0,0.04,0.04,0.0
dynamic_earthnet,remoteclip,val,nrg,naive,False,110,0.05282370445882727,0.0,0.0,0.0,0.06666666666666667,0.0
dynamic_earthnet,remoteclip,val,nrg,zero_shot,False,110,0.04697162425123342,0.0,0.0,0.0,0.06666666666666667,0.0
dynamic_earthnet,remoteclip,val,rgb,naive,False,110,0.02888740800471835,0.0,0.0,0.0,0.0,0.0
dynamic_earthnet,remoteclip,val,rgb,peft,False,110,0.027892526646178483,0.0,0.0,0.0,0.0,0.0
dynamic_earthnet,remoteclip,val,rgb,zero_shot,False,110,0.02460744985657034,0.0,0.0,0.0,0.0,0.0
qfabric_status,clip_vitl14,eval,rgb,naive,False,4200,0.05688860710032661,0.0,0.0,0.0008169934640522876,0.002770702890452876,0.0
qfabric_status,clip_vitl14,eval,rgb,zero_shot,False,4200,0.057257734601810634,0.0011675459043880097,0.0011675459043880097,0.0028015328324925847,0.0039711234757674385,0.0
qfabric_status,georsclip,eval,rgb,naive,False,4200,0.07901767842688225,0.0005827505827505828,0.0019516646875137442,0.0037019611746523366,0.011249475794535377,0.0
qfabric_status,georsclip,eval,rgb,zero_shot,False,4200,0.08406864708780724,0.0013709588436500054,0.005725421997455265,0.006892967901843274,0.010246421375046734,0.0
qfabric_status,remoteclip,eval,rgb,naive,False,4200,0.06438257928018126,0.0005827505827505828,0.0017502964871385924,0.0029157976526397577,0.007843622908755218,0.0
qfabric_status,remoteclip,eval,rgb,zero_shot,False,4200,0.07180033532062143,0.0005847953216374269,0.0011695906432748538,0.0029219318693002906,0.005107839438115739,0.0
qfabric_teo,clip_vitl14,eval,rgb,naive,False,2476,0.274267633014456,0.0006944444444444445,0.001388888888888889,0.002777777777777778,0.007291666666666666,0.0
qfabric_teo,clip_vitl14,eval,rgb,zero_shot,False,2476,0.18698329626714047,0.00034722222222222224,0.002887426900584795,0.0042763157894736845,0.0060124269005847955,0.0
qfabric_teo,clip_vitl14,test,rgb,naive,False,2048,0.26893624353219103,0.0010416666666666667,0.002777777777777778,0.004166666666666667,0.007638888888888889,0.0
qfabric_teo,clip_vitl14,test,rgb,peft,False,2048,0.2706798190385776,0.0,0.00034722222222222224,0.011458333333333334,0.01572420634920635,0.0
qfabric_teo,clip_vitl14,test,rgb,zero_shot,False,2048,0.18534930604972946,0.0006944444444444445,0.0020833333333333333,0.0031249999999999997,0.006696428571428572,0.0
qfabric_teo,clip_vitl14,train,rgb,naive,False,2422,0.27846839604024615,0.0006958972570897257,0.0020891567924240825,0.0035072179150600264,0.009119652916954787,0.0
qfabric_teo,clip_vitl14,train,rgb,peft,False,2422,0.9980262512573201,0.004543061122635944,0.013629183367907832,0.02271530561317972,0.04543061122635944,0.0
qfabric_teo,clip_vitl14,train,rgb,zero_shot,False,2422,0.188969736329456,0.0006958972570897257,0.0041929210666135355,0.005259389320581789,0.008460246895131833,0.0
qfabric_teo,georsclip,eval,rgb,naive,False,2476,0.26943058116883806,0.0006944444444444445,0.001736111111111111,0.0031249999999999997,0.00798611111111111,0.0
qfabric_teo,georsclip,eval,rgb,zero_shot,False,2476,0.18203340866802717,0.0006944444444444445,0.0010416666666666667,0.001736111111111111,0.0031249999999999997,0.0
qfabric_teo,georsclip,test,rgb,naive,False,2048,0.2724511950133671,0.0006944444444444445,0.002777777777777778,0.004166666666666667,0.009474206349206349,0.0
qfabric_teo,georsclip,test,rgb,peft,False,2048,0.33401245513099087,0.011458333333333334,0.012847222222222223,0.016418650793650794,0.019196428571428573,0.0
qfabric_teo,georsclip,test,rgb,zero_shot,False,2048,0.1805967168528102,0.0,0.00034722222222222224,0.0020833333333333333,0.005208333333333333,0.0
