dataset,encoder,split,color_mode,approach,lora,n_queries,n_pairs,mAP,rand_mAP,lift,perm_p,bh_fdr,ap_min,ap_max,leakage
dynamic_earthnet,georsclip,val,nrg,zero_shot,True,5,110,0.0412,0.0613,0.67,0.675,0.975,0.009,0.062,False
dynamic_earthnet,georsclip,val,rgb,naive,False,5,110,0.0303,0.0619,0.49,0.9267,0.9978,0.009,0.052,False
dynamic_earthnet,georsclip,val,rgb,peft,False,5,110,0.0873,0.062,1.41,0.1668,0.3739,0.025,0.261,False
dynamic_earthnet,georsclip,val,rgb,zero_shot,False,5,110,0.0359,0.0619,0.58,0.8017,0.9978,0.01,0.079,False
dynamic_earthnet,remoteclip,test,ndvi,naive,False,3,110,0.0382,0.0829,0.46,0.9978,0.9978,0.036,0.042,False
dynamic_earthnet,remoteclip,test,ndvi,zero_shot,False,3,110,0.0549,0.083,0.66,0.8217,0.9978,0.045,0.067,False
dynamic_earthnet,remoteclip,test,nrg,naive,False,3,110,0.0614,0.0834,0.74,0.7015,0.9874,0.042,0.098,False
dynamic_earthnet,remoteclip,test,nrg,zero_shot,False,3,110,0.1289,0.0835,1.54,0.1133,0.2728,0.056,0.231,False
dynamic_earthnet,remoteclip,test,rgb,naive,False,3,110,0.1205,0.0831,1.45,0.1415,0.3285,0.049,0.239,False
dynamic_earthnet,remoteclip,test,rgb,peft,False,3,110,0.1032,0.0828,1.25,0.228,0.4781,0.034,0.229,False
dynamic_earthnet,remoteclip,test,rgb,zero_shot,False,3,110,0.0497,0.0827,0.6,0.906,0.9978,0.037,0.065,False
dynamic_earthnet,remoteclip,train,ndvi,naive,False,5,605,0.0215,0.0282,0.76,0.8,,0.004,0.038,False
dynamic_earthnet,remoteclip,train,ndvi,zero_shot,False,5,605,0.0219,0.028,0.78,0.775,,0.011,0.033,False
dynamic_earthnet,remoteclip,train,nrg,naive,False,5,605,0.0248,0.028,0.89,0.5427,,0.005,0.054,False
dynamic_earthnet,remoteclip,train,nrg,zero_shot,False,5,605,0.0229,0.0278,0.82,0.6787,,0.011,0.039,False
dynamic_earthnet,remoteclip,train,rgb,naive,False,5,605,0.0241,0.0277,0.87,0.578,,0.008,0.038,False
dynamic_earthnet,remoteclip,train,rgb,peft,False,5,605,0.3522,0.028,12.58,0.0,,0.047,0.98,True
dynamic_earthnet,remoteclip,train,rgb,zero_shot,False,5,605,0.057,0.0279,2.04,0.018,,0.01,0.103,False
dynamic_earthnet,remoteclip,val,ndvi,naive,False,5,110,0.0555,0.062,0.9,0.409,0.7596,0.013,0.091,False
dynamic_earthnet,remoteclip,val,ndvi,zero_shot,False,5,110,0.048,0.0616,0.78,0.5355,0.8845,0.013,0.086,False
dynamic_earthnet,remoteclip,val,nrg,naive,False,5,110,0.0528,0.062,0.85,0.4502,0.7909,0.011,0.09,False
dynamic_earthnet,remoteclip,val,nrg,zero_shot,False,5,110,0.047,0.0612,0.77,0.5443,0.8845,0.01,0.096,False
dynamic_earthnet,remoteclip,val,rgb,naive,False,5,110,0.0289,0.0625,0.46,0.9513,0.9978,0.011,0.058,False
dynamic_earthnet,remoteclip,val,rgb,peft,False,5,110,0.0279,0.0613,0.46,0.9585,0.9978,0.011,0.045,False
dynamic_earthnet,remoteclip,val,rgb,zero_shot,False,5,110,0.0246,0.0616,0.4,0.994,0.9978,0.01,0.044,False
qfabric_status,clip_vitl14,eval,rgb,naive,False,6,4200,0.0569,0.0448,1.27,0.0,0.0,0.01,0.106,False
